"creation_date","okved_osn_code_full","N"
2011,"52.29",11972
2011,"43.21",1367
2011,"46.69.50",1569
2011,"46.46.20",346
2011,"46.10",5144
2011,"47.50",1131
2011,"47.20",1009
2011,"46.71",1642
2011,"01.50",68
2011,"10.13.10",31
2011,"41.20",15002
2011,"71.12.53",80
2011,"68.20",1825
2011,"46.69.20",477
2011,"79.10",2568
2011,"47.91.20",1981
2011,"46.73",7409
2011,"56.10",5647
2011,"77.39.11",35
2011,"46.40",13941
2011,"45.31.10",1235
2011,"62",2111
2011,"46.31",1037
2011,"46.38.10",612
2011,"46.73.70",29
2011,"46.90",35069
2011,"71.10",2093
2011,"02.40.20",32
2011,"33.12",1460
2011,"49.41.10",268
2011,"49.40",3091
2011,"46.34",152
2011,"02.30.20",7
2011,"46.47.30",59
2011,"47.52",208
2011,"46.71.20",196
2011,"43.99.50",175
2011,"47.10",1504
2011,"16.10.10",39
2011,"08.11",30
2011,"51.70",12
2011,"81.29.90",405
2011,"52.10.10",12
2011,"42.11",558
2011,"46.30",5950
2011,"43.99",1321
2011,"51.10.10",64
2011,"45.20",2328
2011,"38.32.20",79
2011,"38.32.30",106
2011,"69.20.20",471
2011,"01.40",19
2011,"49.41",82
2011,"46.73.60",2614
2011,"69",3649
2011,"45.10",1701
2011,"74.30",205
2011,"62.02",754
2011,"81.22",1293
2011,"59.10",388
2011,"56.29",464
2011,"43.22",566
2011,"68.31.10",497
2011,"64.90",736
2011,"01.19.10",6
2011,"70.22",2948
2011,"33.14",575
2011,"27.12",261
2011,"45.30",1877
2011,"43.20",2291
2011,"72.19",1421
2011,"72.10",1476
2011,"46.32",822
2011,"43.30",2793
2011,"46.31.13",85
2011,"47.52.70",602
2011,"10.10",63
2011,"64.99.30",240
2011,"42.21",463
2011,"73.10",2794
2011,"73.11",1832
2011,"74.10",25
2011,"82.99",3364
2011,"68.20.20",1423
2011,"64.19",51
2011,"46.49.42",158
2011,"47.54",288
2011,"46.73.10",692
2011,"47.52.20",50
2011,"46.75.20",236
2011,"46.74.30",177
2011,"71.12.40",184
2011,"46.49",1364
2011,"46.73.30",618
2011,"46.73.40",349
2011,"02.10",150
2011,"02",14
2011,"68.10.22",87
2011,"46.39",195
2011,"46.14.90",203
2011,"10.13.90",12
2011,"72.20",224
2011,"68.32",2114
2011,"43.11",623
2011,"31.09",105
2011,"46.69.90",1436
2011,"46.33",137
2011,"18.10",925
2011,"90",368
2011,"30.11",115
2011,"95.10",798
2011,"46.51",822
2011,"61.10.40",144
2011,"85.42.90",527
2011,"46.60",3692
2011,"46.17",144
2011,"71.20.90",99
2011,"82.30",29
2011,"47.52.73",238
2011,"47.11",480
2011,"02.20",197
2011,"46.72",992
2011,"68.10.23",231
2011,"74.90.60",1
2011,"46.21.11",141
2011,"43.12",5375
2011,"45.11.20",115
2011,"45.20.10",277
2011,"46.21",174
2011,"52.23",28
2011,"25.11",465
2011,"69.10",2400
2011,"79.11",2046
2011,"37",163
2011,"32.99.90",128
2011,"46.75",550
2011,"46.38.29",81
2011,"49.30",1065
2011,"47.22",36
2011,"47.71",722
2011,"46.42",785
2011,"46.72.21",209
2011,"46.12.20",59
2011,"46.70",1358
2011,"46.11.34",17
2011,"96.09",480
2011,"46.74.20",371
2011,"46.36.10",41
2011,"45.11.40",64
2011,"09.10.40",18
2011,"46.34.23",104
2011,"46.49.43",250
2011,"46.69",1021
2011,"13.93",20
2011,"68.10",1618
2011,"46.13",421
2011,"62.09",1361
2011,"47.30",147
2011,"46.32.10",206
2011,"69.20",759
2011,"49.31.21",12
2011,"47.78.90",281
2011,"52.10",666
2011,"68.30",2195
2011,"38.32.40",20
2011,"52.24",453
2011,"68.32.20",523
2011,"20.10.10",1
2011,"16.10",491
2011,"46.77",348
2011,"22.23",258
2011,"46.32.20",5
2011,"17.22",41
2011,"71.11.10",968
2011,"86",855
2011,"77.32",612
2011,"74.20",1503
2011,"38.21",5
2011,"71.12.20",31
2011,"29.10",59
2011,"43.91",182
