"dissolution_date","okved_osn_code_full","N"
2012,"46.41.10",78
2020,"41.20",23325
2012,"28.92",2
2011,"46.90",8989
2012,"68.10.11",14
2018,"49.41.20",156
2011,"46.40",670
2013,"41.20",3676
2011,"46.73.10",118
2016,"41.20",14819
2014,"92.10",71
2019,"43.21",2355
2018,"73.20.10",436
2019,"46.41.10",227
2018,"63.11.10",1120
2017,"45.30",1567
2018,"41.20",19468
2016,"62.01",641
2016,"62",1414
2014,"45.10",743
2018,"46.34.20",45
2013,"71.10",308
2011,"16.10",58
2017,"10.71",231
2013,"50.30",17
2013,"03.11",15
2013,"47.19",585
2013,"79.10",688
2013,"68.20.20",376
2017,"46.90",43551
2020,"82.99",3664
2013,"46.40",2632
2013,"30.11",54
2018,"43.21",1613
2019,"47.10",1502
2017,"46.21.19",37
2013,"47.64",55
2017,"47.10",1192
2013,"47.25.10",29
2018,"42.21",493
2018,"43.99.30",28
2018,"80.10",826
2018,"80",532
2015,"46.76.10",71
2017,"71.11",374
2014,"71.11",150
2016,"47.11.10",30
2012,"46.73.10",318
2016,"47.11",1068
2013,"46.90",16862
2016,"02.40.20",30
2014,"08.10",11
2016,"45.20",2195
2012,"47.54",156
2011,"47.19",381
2013,"46.43.10",171
2011,"69",288
2013,"46.73.60",688
2018,"69",3003
2018,"46.40",6138
2019,"43.12",3379
2020,"46.71.20",253
2015,"77.39.10",21
2012,"46.90",19673
2020,"46.90",27489
2020,"51.70",46
2012,"46.69.90",300
2013,"62",469
2013,"46.66",156
2012,"26.60.10",18
2013,"71.12.30",24
2011,"46.10",738
2016,"64.99.10",220
2016,"46.10",6010
2014,"43.99",410
2017,"43.11",1505
2011,"41.20",1454
2012,"58.11.10",66
2012,"16.10",140
2017,"52.10",666
2017,"52.24",533
2017,"10.51",26
2016,"43.30",1823
2014,"33.14",169
2016,"43.12",5828
2015,"46.90",17021
2012,"41.20",3358
2012,"43.91",46
2017,"64.99",677
2018,"46.60",1848
2016,"46.90",54028
2012,"46.51",275
2016,"46.69.50",1396
2018,"46.90",53364
2016,"26.51.60",35
2012,"46.73.40",208
2014,"73.10",1481
2016,"28.12",28
2016,"46.72.21",316
2016,"46.39.20",114
2016,"46.71.10",58
2013,"47.20",300
2012,"11.05",6
2012,"33.12",321
2012,"46.39",472
2015,"71.12.12",63
2016,"25.62",364
2012,"38.10",24
2019,"41.20",21490
2017,"69",1998
2011,"33.12",120
2011,"47.10",176
2012,"49.31.20",22
2016,"46.69.90",1341
2012,"49.41.20",38
2016,"46.73",9837
2012,"49.41.30",26
2013,"22.23",63
2014,"46.19",715
2016,"18.12",329
2011,"46.19",451
2016,"68.10.21",66
2012,"02.20",100
2016,"47.41.40",69
2015,"10.41.50",5
2012,"46.21.11",42
2020,"93.29.90",726
2019,"11.07",47
2018,"47.25.20",91
2014,"41.20",4962
2012,"46.10",1785
2016,"46.21.12",18
2011,"52.10.21",3
2011,"50.10",16
2020,"49.40",3159
2016,"46.21.11",192
2014,"68.20",664
2016,"68.20.20",1019
2014,"46.73.10",364
2015,"69.10",994
2014,"46.69.90",594
2016,"46.39",874
2012,"01.10",38
2016,"47.11.20",96
2016,"47.78.90",246
2013,"85.42.90",113
2014,"70.22",1175
2013,"59.14",9
2014,"46.69.50",588
2014,"28.29.10",11
2020,"68.20.20",1892
2012,"46.73.30",120
2015,"71.11",113
2015,"22.19.70",5
2015,"68.20.20",716
2018,"43.11",2230
2020,"47.11",1667
2016,"46.44.20",183
2018,"52.24",813
2012,"49.40",802
2017,"78.10",1143
2013,"10.39.20",3
2013,"46.71.10",21
2020,"52.29",10288
2013,"42.11",89
2014,"46.73.60",974
2018,"43.12.30",252
2014,"46.36.10",12
2012,"38.32.30",84
2017,"46.30",3787
2018,"46.32.10",344
2018,"03.11",30
2013,"64.92.60",70
2017,"64.92",125
2020,"64.19",109
2018,"69.10",3592
2019,"47.11.20",144
2011,"10.80",17
2017,"73.20.10",273
2014,"64.90",257
2011,"02.10",19
2011,"14.13.22",4
2012,"46.61.10",20
2015,"37",47
2012,"46.77",112
2016,"25.11",598
2011,"46.73.60",287
2011,"68.20.20",127
2019,"46.73.10",794
2013,"02.20",152
2016,"46.40",9331
2015,"72.10",822
2013,"24.41",9
2018,"47.19",1865
2011,"72.10",181
2017,"47.11",914
2012,"47.11",426
2013,"47.11",399
2016,"46.61.10",48
2019,"49.41.10",419
2020,"69.20.10",427
2013,"18.12",89
2019,"46.72.21",257
2014,"64.91",86
2011,"88.10",27
2018,"18.10",748
2016,"47.25.11",15
2019,"25.72",9
2015,"46.72.21",66
2017,"80.10",653
2017,"80",385
2012,"30.10",22
2015,"47.21",47
2012,"82.99",846
2012,"46.73.60",687
2017,"41.20",15559
2014,"47.10",520
2016,"42.11",440
2017,"42.11",417
2015,"47.11.10",15
