"year","okved_osn_code_full","N"
2011,"46.41.10",228
2012,"46.41.10",247
2011,"41.20",15750
2012,"41.20",16456
2013,"41.20",17213
2014,"41.20",18842
2015,"41.20",20603
2016,"41.20",22554
2017,"41.20",22407
2018,"41.20",21954
2019,"41.20",20268
2020,"41.20",17996
2011,"28.92",34
2012,"28.92",34
2011,"46.90",51609
2011,"71.12.63",5
2012,"71.12.63",5
2013,"71.12.63",5
2014,"71.12.63",7
2015,"71.12.63",6
2016,"71.12.63",8
2017,"71.12.63",9
2018,"71.12.63",10
2019,"71.12.63",10
2020,"71.12.63",9
2021,"71.12.63",8
2011,"68.10.11",125
2012,"68.10.11",117
2011,"49.41.20",301
2012,"49.41.20",283
2013,"49.41.20",280
2014,"49.41.20",283
2015,"49.41.20",284
2016,"49.41.20",289
2017,"49.41.20",266
2018,"49.41.20",249
2011,"46.40",7258
2011,"46.73.10",996
2011,"92.10",131
2012,"92.10",105
2013,"92.10",83
2014,"92.10",75
2011,"46.38",483
2012,"46.38",488
2013,"46.38",559
2014,"46.38",732
2015,"46.38",966
2016,"46.38",1152
2017,"46.38",1138
2018,"46.38",1062
2019,"46.38",909
2020,"46.38",706
2021,"46.38",489
2011,"64.19",127
2012,"64.19",114
2013,"64.19",127
2014,"64.19",152
2015,"64.19",168
2016,"64.19",173
2017,"64.19",166
2018,"64.19",103
2019,"64.19",87
2020,"64.19",80
2021,"64.19",66
2011,"43.21",1524
2012,"43.21",1584
2013,"43.21",1741
2014,"43.21",2030
2015,"43.21",2296
2016,"43.21",2628
2017,"43.21",3041
2018,"43.21",3561
2019,"43.21",3797
2011,"23.61",202
2012,"23.61",198
2013,"23.61",211
2014,"23.61",247
2015,"23.61",284
2016,"23.61",329
2017,"23.61",350
2018,"23.61",351
2019,"23.61",342
2020,"23.61",309
2021,"23.61",254
2011,"38.32.30",230
2012,"38.32.30",202
2013,"38.32.30",175
2014,"38.32.30",171
2015,"38.32.30",324
2016,"38.32.30",309
2017,"38.32.30",93
2018,"38.32.30",98
2019,"38.32.30",90
2020,"38.32.30",82
2021,"38.32.30",70
2017,"42.21",776
2018,"42.21",860
2019,"42.21",871
2020,"42.21",853
2021,"42.21",736
2011,"73.20.10",475
2012,"73.20.10",457
2013,"73.20.10",413
2014,"73.20.10",402
2015,"73.20.10",397
2016,"73.20.10",389
2017,"73.20.10",350
2018,"73.20.10",304
2011,"46.33",205
2012,"46.33",198
