"okved_osn_code_full","okved_osn_name_full","N"
"46.41.10","торговля оптовая текстильными изделиями, кроме текстильных галантерейных изделий",2294
"41.20","строительство жилых и нежилых зданий",208120
"28.92","производство машин и оборудования для добычи полезных ископаемых и строительства",499
"46.90","торговля оптовая неспециализированная",378826
"71.12.63","деятельность в области аккредитации",82
"68.10.11","подготовка к продаже собственного жилого недвижимого имущества",1049
"49.41.20","перевозка грузов неспециализированными автотранспортными средствами",2888
"46.40","торговля оптовая непродовольственными потребительскими товарами",50547
"46.73.10","торговля оптовая древесным сырьем и необработанными лесоматериалами",7564
"92.10","деятельность по организации и проведению азартных игр и заключения пари",588
"46.38","торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков",8684
"64.19","денежное посредничество прочее",1363
"43.21","производство электромонтажных работ",28953
"23.61","производство изделий из бетона для использования в строительстве",3077
"38.32.30","обработка отходов и лома черных металлов",1844
"42.21","строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",7388
"73.20.10","исследование конъюнктуры рынка",3815
"46.33","торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами",3501
"19.20","производство нефтепродуктов",908
"68.20.20","аренда и управление собственным или арендованным нежилым недвижимым имуществом",46227
"68.20","аренда и управление собственным или арендованным недвижимым имуществом",43092
"46.30","торговля оптовая пищевыми продуктами, напитками и табачными изделиями",31115
"63.11.10","деятельность по созданию и использованию баз данных и информационных ресурсов",11311
"45.30","торговля автомобильными деталями, узлами и принадлежностями",17461
"62.01","разработка компьютерного программного обеспечения",24892
"62","разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",17952
"45.10","торговля автотранспортными средствами",15672
"46.34.20","торговля оптовая алкогольными напитками, включая пиво и пищевой этиловый спирт",837
"71.10","деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",22298
"16.10","распиловка и строгание древесины",5289
"10.71","производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",3962
"50.30","деятельность внутреннего водного пассажирского транспорта",1025
"03.11","рыболовство морское",363
"47.19","торговля розничная прочая в неспециализированных магазинах",15934
"79.10","деятельность туристических агентств и туроператоров",19793
"46.14.90","деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием",2438
"82.99","деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки",37909
"30.11","строительство кораблей, судов и плавучих конструкций",2780
"47.10","торговля розничная в неспециализированных магазинах",13426
"46.21.19","торговля оптовая сельскохозяйственным сырьем, не включенным в другие группировки",419
"47.64","торговля розничная спортивным оборудованием и спортивными товарами в специализированных магазинах",3166
"47.25.10","торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах",1489
"43.99.30","работы свайные и работы по строительству фундаментов",309
"47.59.10","торговля розничная мебелью в специализированных магазинах",5015
"47.41","торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах",4384
"42.22","строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями",535
"71.12","деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",6095
"80.10","деятельность частных охранных служб",13465
"80","деятельность по обеспечению безопасности и проведению расследований",6896
"46.76.10","торговля оптовая бумагой и картоном",2918
"71.11","деятельность в области архитектуры",7901
"08.11","добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",748
"02.40","предоставление услуг в области лесоводства и лесозаготовок",260
"47.11.10","торговля розничная замороженными продуктами в неспециализированных магазинах",533
"47.11","торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",15766
"02.40.20","предоставление услуг в области лесозаготовок",335
"02.20","лесозаготовки",2578
"08.10","добыча камня, песка и глины",451
"45.20","техническое обслуживание и ремонт автотранспортных средств",29148
"47.54","торговля розничная бытовыми электротоварами в специализированных магазинах",3347
"46.43.10","торговля оптовая электрической бытовой техникой",5152
"69","деятельность в области права и бухгалтерского учета",27794
"46.73.60","торговля оптовая прочими строительными материалами и изделиями",32314
"46.71","торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",17341
"47.30","торговля розничная моторным топливом в специализированных магазинах",2199
"43.12","подготовка строительной площадки",41847
"46.71.20","торговля оптовая моторным топливом, включая авиационный бензин",2014
"43.11","разборка и снос зданий",17541
"42.99","строительство прочих инженерных сооружений, не включенных в другие группировки",1659
"77.39.10","аренда и лизинг прочих сухопутных транспортных средств и оборудования",1561
"49.41.10","перевозка грузов специализированными автотранспортными средствами",4346
"52.29","деятельность вспомогательная прочая, связанная с перевозками",107768
"49.41","деятельность автомобильного грузового транспорта",16120
"52.10","деятельность по складированию и хранению",7497
"52.24","транспортная обработка грузов",6955
"51.70","прочая оптовая торговля",254
"46.69.90","торговля оптовая прочими машинами, приборами, аппаратурой и оборудованием общепромышленного и специального назначения",15433
